Id,Name,City__c,State__c,Zip__c,Price__c,Beds__c,Baths__c,Location__Longitude__s,Location__Latitude__s,Picture__c,Thumbnail__c,Tags__c,Description__c,Broker__c,Address__c,Broker__r.Name
a058D0000005tNzQAI,Stunning Victorian,Cambridge,MA,01742,975000,4,3,-71.11095,42.35663,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house01.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house01sq.jpg,victorian,Lorem ipsum dolor sit amet,a048D000002STlqQAG,18 Henry St,Caroline Kingsley
a058D0000005tO0QAI,Ultimate Sophistication,Cambridge,MA,02420,1200000,5,4,-71.10869,42.359103,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house02.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house02sq.jpg,colonial,Lorem ipsum dolor sit amet,a048D000002STlrQAG,24 Pearl St,Michael Jones
a058D0000005tO1QAI,Modern City Living,Boston,MA,02420,825000,5,4,-71.106827,42.335435,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house03.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house03sq.jpg,contemporary,Lorem ipsum dolor sit amet,a048D000002STlsQAG,72 Francis st,Jonathan Bradley
a058D0000005tO2QAI,Stunning Colonial,Cambridge,MA,02420,930000,5,4,-71.110448,42.360642,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house04.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house04sq.jpg,colonial,Lorem ipsum dolor sit amet,a048D000002STltQAG,32 Prince st,Jennifer Wu
a058D0000005tO3QAI,Waterfront in the City,Boston,MA,02420,850000,3,2,-71.084454,42.368168,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house05.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house05sq.jpg,contemporary,Lorem ipsum dolor sit amet,a048D000002STluQAG,110 Baxter Street,Olivia Green
a058D0000005tO4QAI,Quiet Retreat,Boston,MA,02420,725000,4,2,-71.052617,42.366855,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house06.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house06sq.jpg,colonial,Lorem ipsum dolor sit amet,a048D000002STlvQAG,448 Hanover St,Miriam Aupont
a058D0000005tO5QAI,City Living,Boston,MA,02420,450000,3,1,-71.057352,42.365003,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house07.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house07sq.jpg,colonial,Lorem ipsum dolor sit amet,a048D000002STlwQAG,127 Endicott St,Michelle Lambert
a058D0000005tO6QAI,Heart of Harvard Square,Cambridge,MA,02420,450000,5,4,-71.121653,42.374117,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house10.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house10sq.jpg,victorian,Lorem ipsum dolor sit amet,a048D000002STlxQAG,48 Brattle st,Victor Ochoa
a058D0000005tO7QAI,Seaport District Retreat,Boston,MA,02420,450000,3,3,-71.049327,42.35695,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house09.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house09sq.jpg,contemporary,Lorem ipsum dolor sit amet,a048D000002STlqQAG,121 Harborwalk,Caroline Kingsley
a058D0000005tO8QAI,Contemporary City Living,Boston,MA,02420,650000,2,2,-71.068781,42.339892,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house08.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house08sq.jpg,contemporary,Lorem ipsum dolor sit amet,a048D000002STlrQAG,640 Harrison Ave,Michael Jones
a058D0000005tO9QAI,Architectural Details,Boston,MA,02420,690000,3,3,-71.084407,42.349693,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house11.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house11sq.jpg,contemporary,Lorem ipsum dolor sit amet,a048D000002STlsQAG,95 Gloucester St,Jonathan Bradley
a058D0000005tOAQAY,Contemporary Luxury,Boston,MA,02420,845000,4,3,-71.075311,42.352466,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house12.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house12sq.jpg,contemporary,Lorem ipsum dolor sit amet,a048D000002STltQAG,145 Commonwealth Ave,Jennifer Wu
